t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp
0.036;0.003;0.16;0.00297;0.1584;0.036;0.004;0.16;0.004;0.1584;0.036;0.004;0.159;0.004;0.16059;0.036;0.005;0.159;0.00495;0.159;0.036;0.006;0.159;0.006;0.159;0.036;0.16;0.003;0.16;0.00297;0.036;0.16;0.004;0.1584;0.004;0.036;0.159;0.004;0.15741;0.00404;0.036;0.159;0.005;0.159;0.005;0.036;0.159;0.006;0.159;0.00594
0.037;0.003;0.16;0.00303;0.16;0.037;0.004;0.16;0.00396;0.16;0.037;0.004;0.159;0.00396;0.15741;0.037;0.005;0.159;0.00505;0.159;0.037;0.006;0.159;0.00606;0.159;0.037;0.16;0.003;0.1616;0.00297;0.037;0.16;0.004;0.16;0.00396;0.037;0.159;0.004;0.15741;0.00396;0.037;0.159;0.005;0.15741;0.005;0.037;0.159;0.006;0.16059;0.00594
0.038;0.003;0.16;0.00303;0.1616;0.038;0.004;0.16;0.00396;0.1616;0.038;0.004;0.159;0.00404;0.159;0.038;0.005;0.159;0.005;0.15741;0.038;0.006;0.159;0.00594;0.159;0.038;0.16;0.003;0.1584;0.003;0.038;0.16;0.004;0.1616;0.00404;0.038;0.159;0.004;0.15741;0.00404;0.038;0.159;0.005;0.159;0.00495;0.038;0.159;0.006;0.159;0.00606
0.039;0.003;0.16;0.00303;0.16;0.039;0.004;0.16;0.004;0.1584;0.039;0.004;0.159;0.00404;0.15741;0.039;0.005;0.159;0.00505;0.15741;0.039;0.006;0.159;0.00606;0.159;0.039;0.16;0.003;0.1584;0.003;0.039;0.16;0.004;0.16;0.00404;0.039;0.159;0.004;0.16059;0.00404;0.039;0.159;0.005;0.16059;0.005;0.039;0.159;0.006;0.159;0.00606
0.04;0.003;0.16;0.00297;0.16;0.04;0.004;0.16;0.00396;0.1584;0.04;0.004;0.159;0.00404;0.15741;0.04;0.005;0.159;0.00505;0.159;0.04;0.006;0.159;0.006;0.159;0.04;0.16;0.003;0.1616;0.003;0.04;0.16;0.004;0.1584;0.00396;0.04;0.159;0.004;0.159;0.004;0.04;0.159;0.005;0.16059;0.00495;0.04;0.159;0.006;0.16059;0.00594
0.041;0.003;0.16;0.00297;0.16;0.041;0.004;0.16;0.00396;0.1616;0.041;0.004;0.159;0.004;0.16059;0.041;0.005;0.159;0.005;0.15741;0.041;0.006;0.159;0.00606;0.15741;0.041;0.16;0.003;0.16;0.003;0.041;0.16;0.004;0.1616;0.00396;0.041;0.159;0.004;0.159;0.00404;0.041;0.159;0.005;0.159;0.005;0.041;0.159;0.006;0.15741;0.006
0.042;0.003;0.16;0.003;0.16;0.042;0.004;0.16;0.004;0.16;0.042;0.004;0.159;0.00404;0.159;0.042;0.005;0.159;0.00495;0.15741;0.042;0.006;0.159;0.00606;0.159;0.042;0.16;0.003;0.1616;0.00297;0.042;0.16;0.004;0.16;0.00396;0.042;0.159;0.004;0.16059;0.004;0.042;0.159;0.005;0.16059;0.00495;0.042;0.159;0.006;0.159;0.00606
0.043;0.003;0.16;0.00303;0.1616;0.043;0.004;0.16;0.00396;0.1584;0.043;0.004;0.159;0.004;0.15741;0.043;0.005;0.159;0.00495;0.15741;0.043;0.006;0.159;0.006;0.16059;0.043;0.16;0.003;0.16;0.00297;0.043;0.16;0.004;0.16;0.00404;0.043;0.159;0.004;0.16059;0.004;0.043;0.159;0.005;0.16059;0.005;0.043;0.159;0.006;0.159;0.00594
0.044;0.003;0.16;0.00303;0.16;0.044;0.003;0.159;0.00303;0.15741;0.044;0.004;0.159;0.00404;0.16059;0.044;0.005;0.159;0.005;0.15741;0.044;0.006;0.159;0.00606;0.15741;0.044;0.16;0.003;0.16;0.003;0.044;0.159;0.003;0.159;0.00303;0.044;0.159;0.004;0.16059;0.00396;0.044;0.159;0.005;0.159;0.005;0.044;0.159;0.006;0.15741;0.00606
0.045;0.003;0.16;0.003;0.1616;0.045;0.003;0.159;0.00297;0.15741;0.045;0.004;0.159;0.00404;0.16059;0.045;0.005;0.159;0.00495;0.159;0.045;0.006;0.159;0.00606;0.15741;0.045;0.16;0.003;0.1584;0.00303;0.045;0.159;0.003;0.159;0.00297;0.045;0.159;0.004;0.16059;0.00404;0.045;0.159;0.005;0.15741;0.005;0.045;0.159;0.006;0.159;0.006
0.046;0.003;0.16;0.00297;0.1616;0.046;0.003;0.159;0.003;0.16059;0.046;0.004;0.159;0.004;0.15741;0.046;0.005;0.159;0.00505;0.15741;0.046;0.006;0.159;0.00606;0.16059;0.046;0.16;0.003;0.16;0.00297;0.046;0.159;0.003;0.16059;0.003;0.046;0.159;0.004;0.15741;0.004;0.046;0.159;0.005;0.159;0.00505;0.046;0.159;0.006;0.159;0.006
0.047;0.003;0.16;0.003;0.1584;0.047;0.003;0.159;0.003;0.15741;0.047;0.004;0.159;0.00404;0.16059;0.047;0.005;0.159;0.00495;0.159;0.047;0.006;0.159;0.00606;0.159;0.047;0.16;0.003;0.16;0.003;0.047;0.159;0.003;0.159;0.003;0.047;0.159;0.004;0.16059;0.00396;0.047;0.159;0.005;0.16059;0.00495;0.047;0.159;0.006;0.159;0.00606
0.048;0.003;0.16;0.003;0.1616;0.048;0.003;0.159;0.00297;0.159;0.048;0.004;0.159;0.004;0.16059;0.048;0.005;0.159;0.00505;0.15741;0.048;0.006;0.159;0.00594;0.16059;0.048;0.16;0.003;0.1616;0.00303;0.048;0.159;0.003;0.16059;0.003;0.048;0.159;0.004;0.16059;0.00396;0.048;0.159;0.005;0.159;0.00505;0.048;0.159;0.006;0.159;0.00606
0.049;0.003;0.16;0.00303;0.1584;0.049;0.003;0.159;0.003;0.15741;0.049;0.004;0.159;0.00404;0.16059;0.049;0.005;0.159;0.00505;0.16059;0.049;0.006;0.159;0.00594;0.15741;0.049;0.16;0.003;0.1584;0.003;0.049;0.159;0.003;0.159;0.00297;0.049;0.159;0.004;0.159;0.00396;0.049;0.159;0.005;0.15741;0.005;0.049;0.159;0.006;0.15741;0.00594
0.05;0.003;0.16;0.003;0.1584;0.05;0.003;0.159;0.003;0.15741;0.05;0.004;0.159;0.004;0.15741;0.05;0.005;0.159;0.00495;0.159;0.05;0.006;0.159;0.006;0.159;0.05;0.16;0.003;0.1616;0.00303;0.05;0.159;0.003;0.15741;0.00297;0.05;0.159;0.004;0.159;0.00404;0.05;0.159;0.005;0.159;0.00495;0.05;0.159;0.006;0.15741;0.00594
0.051;0.003;0.16;0.00297;0.1584;0.051;0.003;0.159;0.003;0.159;0.051;0.004;0.159;0.004;0.159;0.051;0.005;0.159;0.00505;0.16059;0.051;0.006;0.159;0.00594;0.159;0.051;0.16;0.003;0.16;0.00297;0.051;0.159;0.003;0.16059;0.00297;0.051;0.159;0.004;0.16059;0.004;0.051;0.159;0.005;0.16059;0.00495;0.051;0.159;0.006;0.159;0.00606
0.052;0.003;0.16;0.003;0.1616;0.052;0.003;0.159;0.00303;0.16059;0.052;0.004;0.159;0.00404;0.15741;0.052;0.005;0.159;0.005;0.15741;0.052;0.006;0.159;0.00594;0.15741;0.052;0.16;0.003;0.16;0.00297;0.052;0.159;0.003;0.16059;0.003;0.052;0.159;0.004;0.16059;0.004;0.052;0.159;0.005;0.16059;0.005;0.052;0.159;0.006;0.16059;0.006
0.053;0.003;0.16;0.00303;0.16;0.053;0.003;0.159;0.00297;0.16059;0.053;0.004;0.159;0.004;0.15741;0.053;0.005;0.159;0.00505;0.16059;0.053;0.006;0.159;0.006;0.16059;0.053;0.16;0.003;0.1616;0.003;0.053;0.159;0.003;0.16059;0.003;0.053;0.159;0.004;0.16059;0.00396;0.053;0.159;0.005;0.15741;0.00505;0.053;0.159;0.006;0.15741;0.00606
0.054;0.003;0.16;0.00303;0.1616;0.054;0.003;0.159;0.003;0.15741;0.054;0.004;0.159;0.004;0.16059;0.054;0.005;0.159;0.00505;0.16059;0.054;0.006;0.159;0.00606;0.16059;0.054;0.16;0.003;0.1584;0.00297;0.054;0.159;0.003;0.16059;0.00303;0.054;0.159;0.004;0.16059;0.004;0.054;0.159;0.005;0.15741;0.00495;0.054;0.159;0.006;0.16059;0.006
0.055;0.003;0.16;0.003;0.1616;0.055;0.003;0.159;0.00297;0.159;0.055;0.004;0.159;0.00396;0.15741;0.055;0.005;0.159;0.00505;0.16059;0.055;0.006;0.159;0.00594;0.16059;0.055;0.16;0.003;0.16;0.00303;0.055;0.159;0.003;0.15741;0.00303;0.055;0.159;0.004;0.16059;0.00396;0.055;0.159;0.005;0.159;0.00495;0.055;0.159;0.006;0.15741;0.006
0.056;0.003;0.16;0.00303;0.1584;0.056;0.003;0.159;0.003;0.16059;0.056;0.004;0.159;0.004;0.16059;0.056;0.005;0.159;0.005;0.16059;0.056;0.006;0.159;0.00606;0.159;0.056;0.16;0.003;0.1584;0.00297;0.056;0.159;0.003;0.159;0.00303;0.056;0.159;0.004;0.16059;0.00396;0.056;0.159;0.005;0.16059;0.00505;0.056;0.159;0.006;0.15741;0.00606
0.057;0.003;0.16;0.003;0.1584;0.057;0.003;0.159;0.003;0.159;0.057;0.004;0.159;0.004;0.15741;0.057;0.005;0.159;0.00505;0.16059;0.057;0.006;0.159;0.006;0.15741;0.057;0.16;0.003;0.1616;0.003;0.057;0.159;0.003;0.159;0.00297;0.057;0.159;0.004;0.159;0.004;0.057;0.159;0.005;0.15741;0.00495;0.057;0.159;0.006;0.15741;0.006
0.058;0.003;0.16;0.00297;0.1584;0.058;0.003;0.159;0.00297;0.16059;0.058;0.004;0.159;0.00404;0.15741;0.058;0.005;0.159;0.005;0.16059;0.058;0.006;0.159;0.00606;0.15741;0.058;0.16;0.003;0.1616;0.003;0.058;0.159;0.003;0.16059;0.00297;0.058;0.159;0.004;0.15741;0.00404;0.058;0.159;0.005;0.159;0.00495;0.058;0.159;0.006;0.16059;0.006
0.059;0.003;0.16;0.00303;0.1584;0.059;0.003;0.159;0.003;0.15741;0.059;0.004;0.159;0.00396;0.16059;0.059;0.005;0.159;0.00495;0.16059;0.059;0.006;0.159;0.00606;0.15741;0.059;0.16;0.003;0.16;0.003;0.059;0.159;0.003;0.16059;0.00297;0.059;0.159;0.004;0.15741;0.00404;0.059;0.159;0.005;0.15741;0.00505;0.059;0.159;0.006;0.15741;0.00594
0.06;0.002;0.159;0.002;0.15741;0.06;0.003;0.159;0.00297;0.16059;0.06;0.004;0.159;0.004;0.15741;0.06;0.005;0.159;0.00495;0.159;0.06;0.006;0.159;0.006;0.159;0.06;0.159;0.002;0.16059;0.002;0.06;0.159;0.003;0.15741;0.003;0.06;0.159;0.004;0.16059;0.00404;0.06;0.159;0.005;0.15741;0.005;0.06;0.159;0.006;0.15741;0.00606
0.061;0.002;0.159;0.002;0.15741;0.061;0.003;0.159;0.00297;0.16059;0.061;0.004;0.159;0.004;0.16059;0.061;0.005;0.159;0.005;0.15741;0.061;0.006;0.159;0.00594;0.159;0.061;0.159;0.002;0.15741;0.00202;0.061;0.159;0.003;0.159;0.003;0.061;0.159;0.004;0.159;0.00396;0.061;0.159;0.005;0.159;0.005;0.061;0.159;0.006;0.159;0.00606
0.062;0.002;0.159;0.00202;0.15741;0.062;0.003;0.159;0.00297;0.159;0.062;0.004;0.159;0.00396;0.159;0.062;0.005;0.159;0.005;0.15741;0.062;0.006;0.159;0.00606;0.16059;0.062;0.159;0.002;0.16059;0.00198;0.062;0.159;0.003;0.159;0.00303;0.062;0.159;0.004;0.15741;0.00404;0.062;0.159;0.005;0.159;0.00505;0.062;0.159;0.006;0.159;0.00606
